timestamp,displacement_m,velocity_ms,acceleration_ms2
36.125319,-1.489855,0.000000,0.000000
36.225601,-1.489855,0.000000,0.000000
36.325394,-1.489855,0.000000,0.000000
36.425479,-1.489855,0.000000,0.000000
36.525452,-1.489855,0.000000,0.000000
36.625452,-1.489855,0.000000,0.000000
36.725653,-1.489855,0.000000,0.000000
36.825433,-1.489855,0.000000,0.000000
36.925452,-1.489855,0.000000,0.000000
37.025333,-1.489855,0.000000,0.000000
37.125355,-1.489855,0.000000,6.000000
37.225350,-1.489855,0.800000,6.000000
37.325647,-0.301227,0.800000,-6.000000
37.425685,-0.282847,0.184251,-6.000000
37.525359,-0.264430,0.184204,-0.004451
37.625342,-0.246069,0.183362,-0.004536
37.725819,-0.227673,0.183294,-0.457141
37.825762,-0.209334,0.091742,-0.916934
37.925718,-0.209334,0.000000,-0.459018
38.025628,-0.209334,0.000000,0.000000
38.125525,-0.209334,0.000000,0.000000
38.225391,-0.209334,0.000000,0.000000
38.325402,-0.209334,0.000000,0.917985
38.425369,-0.209334,0.183577,1.377044
38.525270,-0.172642,0.275227,-0.002268
38.625356,-0.154292,0.183123,-0.462901
38.725371,-0.135999,0.182600,-0.003410
38.825402,-0.117763,0.182441,0.000605
38.925448,-0.099497,0.182721,0.001608
39.025509,-0.081200,0.182763,-0.005411
39.125356,-0.062961,0.181639,-0.002481
39.226490,-0.044694,0.182264,0.008244
39.325482,-0.026485,0.183289,-0.000589
39.425322,-0.008250,0.182147,-0.007264
39.525381,0.009926,0.181837,-0.001404
39.625371,0.028127,0.181866,-0.001633
39.725203,0.046267,0.181511,-0.003821
39.825377,0.064430,0.181102,-0.001887
39.925448,0.082531,0.181133,-0.000430
40.025362,0.100654,0.181016,-0.002134
40.125331,0.118713,0.180707,-0.006554
40.225341,0.136791,0.179705,-0.003248
40.326170,0.154805,0.180054,0.002534
40.425521,0.172835,0.180213,-0.003752
40.525387,0.190707,0.179307,-0.004350
40.625447,0.208683,0.179343,-0.001463
40.725479,0.226592,0.179014,-0.004018
40.825581,0.244510,0.178539,-0.001676
40.925809,0.262359,0.178678,0.000144
41.025396,0.280212,0.178568,-0.004169
41.125377,0.297995,0.177846,-0.005436
41.225376,0.315778,0.177481,-0.004425
41.325357,0.333488,0.176961,-0.004049
41.425501,0.351192,0.176670,-0.002953
41.525353,0.368821,0.176371,-0.004160
41.625345,0.386439,0.175839,-0.005371
41.725289,0.403977,0.175297,-0.005659
41.825349,0.421499,0.174707,-0.005581
41.925393,0.438937,0.174180,-0.005086
42.025440,0.456351,0.173689,-0.007940
42.125402,0.473676,0.172592,-0.008635
42.225467,0.490874,0.171962,-0.003619
42.325426,0.508073,0.171868,-0.004148
42.425366,0.525231,0.171133,-0.007940
42.525352,0.542287,0.170281,-0.009285
42.625393,0.559291,0.169276,-0.008578
42.725615,0.576187,0.168563,-0.007019
42.825473,0.593017,0.167872,-0.010739
42.925429,0.609730,0.166417,-0.010787
43.025846,0.626363,0.165710,-0.007235
43.125397,0.642866,0.164970,-0.011894
43.225342,0.659274,0.163337,-0.014787
43.325423,0.675538,0.162013,-0.013066
43.425404,0.691686,0.160723,-0.018682
43.525377,0.707675,0.158277,-0.014878
43.626561,0.723525,0.157731,-0.007433
43.725214,0.739196,0.156792,-0.019436
43.825389,0.754700,0.153866,-0.029177
43.925423,0.770001,0.150950,-0.024750
44.026141,0.785003,0.148898,-0.014168
44.126053,0.799875,0.148108,-0.016915
44.225348,0.814507,0.145528,-0.029319
44.325336,0.828876,0.142265,-0.031090
44.425344,0.842960,0.139310,-0.030886
44.525342,0.856739,0.136088,-0.033480
44.625355,0.870179,0.132614,-0.036186
44.725371,0.883265,0.128849,-0.039218
44.825360,0.895949,0.124770,-0.042621
44.925396,0.908222,0.120324,-0.045871
45.025402,0.920019,0.115594,-0.049601
45.125373,0.931339,0.110405,-0.054555
45.225377,0.942097,0.104684,-0.057869
45.325352,0.952273,0.098833,-0.061730
45.425298,0.961856,0.092343,-0.067154
45.525286,0.970736,0.085406,-0.073909
45.625309,0.978938,0.077561,-0.078514
45.725291,0.986248,0.069703,-0.078348
45.825439,0.992888,0.061881,-0.082429
45.925323,0.998626,0.053215,-0.089223
46.025376,1.003527,0.044042,-0.092763
46.125483,1.007442,0.034647,-0.095499
46.225446,1.010459,0.024935,-0.098132
46.325391,1.012426,0.015030,-0.099954
46.425334,1.013464,0.004956,-0.100775
46.525328,1.013417,-0.005119,-0.100673
46.625365,1.012440,-0.015182,-0.099870
46.725343,1.010381,-0.025094,-0.098140
46.825309,1.007422,-0.034805,-0.095572
