timestamp,fused_px,fused_py,fused_vx,fused_vy,fusion_variance
74.674959,-525.064700,-336.102700,-1.525000,-0.975000,0.007447
74.774967,-525.217200,-336.200300,-1.525000,-0.975000,0.007447
74.874962,-525.369800,-336.297800,-1.525000,-0.975000,0.007447
74.974937,-525.522300,-336.395300,-1.525000,-0.975000,0.007447
75.074960,-525.674800,-336.492900,-1.525000,-0.975000,0.007447
75.175178,-525.827400,-336.590400,-1.525000,-0.975000,0.007447
75.275150,-525.979900,-336.687900,-1.525000,-0.975000,0.007447
75.375019,-526.132500,-336.785500,-1.525000,-0.975000,0.007447
75.475176,-526.285000,-336.883000,-1.525000,-0.975000,0.007447
75.575170,-526.437500,-336.980500,-1.525000,-0.975000,0.007447
75.675025,-526.590100,-337.078100,-1.525000,-0.975000,0.007447
75.774913,-526.742600,-337.175600,-1.525000,-0.975000,0.007447
75.875014,-526.895100,-337.273100,-1.525000,-0.975000,0.007447
75.975158,-527.047700,-337.370700,-1.525000,-0.975000,0.007447
76.075024,-527.200200,-337.468200,-1.525000,-0.975000,0.007447
76.175069,-527.352700,-337.565700,-1.525000,-0.975000,0.007447
76.275040,-527.505300,-337.663300,-1.525000,-0.975000,0.007447
76.374956,-527.657800,-337.760800,-1.525000,-0.975000,0.007447
76.474957,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
76.574974,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
76.674971,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
76.774964,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
76.874958,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
76.974967,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.074951,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.174984,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.274990,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.374969,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.474981,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.574966,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.674994,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.774963,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.875176,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
77.975052,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.075202,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.175044,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.276249,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.375170,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.475050,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.574979,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.674976,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.774974,-527.810400,-337.858300,-1.525000,-0.975000,0.007447
78.874990,-528.268000,-338.150900,-1.525000,-0.975000,0.007447
78.975037,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.074992,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.175069,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.275138,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.374967,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.475001,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.575231,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.675140,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.774956,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.874945,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
79.974962,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.074956,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.174995,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.275011,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.375015,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.475062,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.574980,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.674978,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.775009,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.874903,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
80.974889,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.075013,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.175153,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.275003,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.374994,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.474975,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.574926,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.674906,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.775038,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.875007,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
81.974902,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
82.074963,-528.420500,-338.248400,-1.525000,-0.975000,0.007447
82.174828,-528.878100,-338.541000,-1.525000,-0.975000,0.007447
82.274972,-529.030600,-338.638600,-1.525000,-0.975000,0.007447
82.375003,-529.183200,-338.736100,-1.525000,-0.975000,0.007447
82.474985,-529.335700,-338.833600,-1.525000,-0.975000,0.007447
82.574903,-529.488300,-338.931200,-1.525000,-0.975000,0.007447
82.674923,-529.640800,-339.028700,-1.525000,-0.975000,0.007447
82.775126,-529.793300,-339.126200,-1.525000,-0.975000,0.007447
82.874967,-529.945900,-339.223800,-1.525000,-0.975000,0.007447
82.974909,-530.098400,-339.321300,-1.525000,-0.975000,0.007447
83.074950,-530.250900,-339.418800,-1.525000,-0.975000,0.007447
83.174907,-530.403500,-339.516300,-1.525000,-0.975000,0.007447
83.275132,-530.556000,-339.613900,-1.525000,-0.975000,0.007447
83.374917,-530.708500,-339.711400,-1.525000,-0.975000,0.007447
83.474996,-530.861100,-339.808900,-1.525000,-0.975000,0.007447
83.574987,-531.013600,-339.906500,-1.525000,-0.975000,0.007447
83.674913,-531.166200,-340.004000,-1.525000,-0.975000,0.007447
83.774967,-531.318700,-340.101500,-1.525000,-0.975000,0.007447
83.874918,-531.471200,-340.199100,-1.525000,-0.975000,0.007447
83.974915,-531.623800,-340.296600,-1.525000,-0.975000,0.007447
84.074984,-531.776300,-340.394100,-1.525000,-0.975000,0.007447
84.175246,-531.928800,-340.491700,-1.525000,-0.975000,0.007447
84.274909,-532.081400,-340.589200,-1.525000,-0.975000,0.007447
84.374972,-532.233900,-340.686700,-1.525000,-0.975000,0.007447
84.474922,-532.386400,-340.784300,-1.525000,-0.975000,0.007447
84.574900,-532.539000,-340.881800,-1.525000,-0.975000,0.007447
84.675486,-532.691500,-340.979300,-1.525000,-0.975000,0.007447
84.774967,-532.844100,-341.076900,-1.525000,-0.975000,0.007447
84.875230,-532.996600,-341.174400,-1.525000,-0.975000,0.007447
84.975252,-533.149100,-341.271900,-1.525000,-0.975000,0.007447
85.075105,-533.301700,-341.369400,-1.525000,-0.975000,0.007447
85.175115,-533.454200,-341.467000,-1.525000,-0.975000,0.007447
85.275540,-533.606700,-341.564500,-1.525000,-0.975000,0.007447
85.375393,-533.759300,-341.662000,-1.525000,-0.975000,0.007447
85.475959,-533.911800,-341.759600,-1.525000,-0.975000,0.007447
85.575503,-534.064300,-341.857100,-1.525000,-0.975000,0.007447
85.676181,-534.216900,-341.954600,-1.525000,-0.975000,0.007447
85.776500,-534.369400,-342.052200,-1.525000,-0.975000,0.007447
85.876001,-534.522000,-342.149700,-1.525000,-0.975000,0.007447
85.975041,-534.674500,-342.247200,-1.525000,-0.975000,0.007447
86.075338,-534.827000,-342.344800,-1.525000,-0.975000,0.007447
86.175026,-534.979600,-342.442300,-1.525000,-0.975000,0.007447
86.275034,-535.132100,-342.539800,-1.525000,-0.975000,0.007447
86.375047,-535.284600,-342.637400,-1.525000,-0.975000,0.007447
86.475009,-535.437200,-342.734900,-1.525000,-0.975000,0.007447
86.575312,-535.589700,-342.832400,-1.525000,-0.975000,0.007447
86.675026,-535.742200,-342.929900,-1.525000,-0.975000,0.007447
86.775064,-535.894800,-343.027500,-1.525000,-0.975000,0.007447
86.875046,-536.047300,-343.125000,-1.525000,-0.975000,0.007447
86.975057,-536.199900,-343.222500,-1.525000,-0.975000,0.007447
87.075007,-536.352400,-343.320100,-1.525000,-0.975000,0.007447
87.174950,-536.504900,-343.417600,-1.525000,-0.975000,0.007447
87.275072,-536.657500,-343.515100,-1.525000,-0.975000,0.007447
87.374964,-536.810000,-343.612700,-1.525000,-0.975000,0.007447
87.475004,-536.962500,-343.710200,-1.525000,-0.975000,0.007447
87.574969,-537.115100,-343.807700,-1.525000,-0.975000,0.007447
87.674990,-537.267600,-343.905300,-1.525000,-0.975000,0.007447
87.774988,-537.420100,-344.002800,-1.525000,-0.975000,0.007447
87.875036,-537.572700,-344.100300,-1.525000,-0.975000,0.007447
